CustomerID,Cluster
C0001,1
C0002,2
C0003,2
C0004,0
C0005,1
C0006,1
C0007,1
C0008,0
C0009,1
C0010,2
C0011,1
C0012,0
C0013,3
C0014,2
C0015,1
C0016,1
C0017,0
C0018,0
C0019,2
C0020,1
C0021,3
C0022,0
C0023,3
C0024,1
C0025,2
C0026,1
C0027,2
C0028,3
C0029,2
C0030,2
C0031,2
C0032,2
C0033,2
C0034,0
C0035,2
C0036,2
C0037,0
C0038,2
C0039,0
C0040,1
C0041,0
C0042,1
C0043,2
C0044,1
C0045,0
C0046,3
C0047,2
C0048,1
C0049,2
C0050,1
C0051,3
C0052,2
C0053,0
C0054,3
C0055,2
C0056,1
C0057,0
C0058,1
C0059,3
C0060,2
C0061,1
C0062,2
C0063,2
C0064,1
C0065,3
C0066,1
C0067,0
C0068,0
C0069,1
C0070,1
C0071,2
C0072,2
C0073,2
C0074,1
C0075,0
C0076,1
C0077,2
C0078,1
C0079,1
C0080,1
C0081,0
C0082,3
C0083,2
C0084,0
C0085,1
C0086,2
C0087,3
C0088,2
C0089,1
C0090,0
C0091,0
C0092,1
C0093,0
C0094,2
C0095,2
C0096,3
C0097,2
C0098,1
C0099,3
C0100,3
C0101,0
C0102,3
C0103,1
C0104,3
C0105,0
C0106,2
C0107,1
C0108,0
C0109,0
C0110,2
C0111,2
C0112,2
C0113,0
C0114,3
C0115,1
C0116,1
C0117,1
C0118,1
C0119,2
C0120,1
C0121,2
C0122,0
C0123,1
C0124,0
C0125,1
C0126,0
C0127,1
C0128,1
C0129,1
C0130,1
C0131,1
C0132,2
C0133,1
C0134,2
C0135,1
C0136,0
C0137,1
C0138,3
C0139,1
C0140,1
C0141,3
C0142,2
C0143,0
C0144,2
C0145,3
C0146,1
C0147,2
C0148,3
C0149,0
C0150,1
C0151,2
C0152,1
C0153,0
C0154,1
C0155,3
C0156,3
C0157,2
C0158,1
C0159,2
C0160,2
C0161,2
C0162,0
C0163,3
C0164,1
C0165,0
C0166,2
C0167,1
C0168,3
C0169,0
C0170,3
C0171,3
C0172,2
C0173,3
C0174,2
C0175,0
C0176,2
C0177,1
C0178,2
C0179,0
C0181,0
C0182,0
C0183,1
C0184,1
C0185,1
C0186,1
C0187,1
C0188,3
C0189,2
C0190,2
C0191,1
C0192,1
C0193,1
C0194,0
C0195,0
C0196,3
C0197,2
C0198,2
C0199,2
C0200,0
